gadm_id_0	year	n
17	2009	1
35	2003	1
35	2004	27
35	2005	28
35	2006	29
35	2007	42
35	2008	53
35	2009	62
35	2010	68
35	2011	53
35	2012	70
35	2013	106
35	2014	115
39	2003	1
39	2004	41
39	2005	35
39	2006	42
39	2007	71
39	2008	75
39	2009	113
39	2010	97
39	2011	124
39	2012	146
39	2013	151
39	2014	154
106	1994	1
106	2000	4
106	2001	2
106	2002	8
106	2003	6
106	2004	494
106	2005	609
106	2006	713
106	2007	710
106	2008	890
106	2009	1156
106	2010	1219
106	2011	1371
106	2012	1817
106	2013	2362
106	2014	2370
123	2003	1
123	2004	25
123	2005	31
123	2006	38
123	2007	33
123	2008	55
123	2009	58
123	2010	78
123	2011	103
123	2012	120
123	2013	120
123	2014	104
136	2000	4
136	2001	10
136	2002	6
136	2003	16
136	2004	1132
136	2005	1301
136	2006	1727
136	2007	2102
136	2008	3241
136	2009	3898
136	2010	4283
136	2011	6358
136	2012	8230
136	2013	9289
136	2014	8505
154	2002	1
154	2003	1
154	2004	28
154	2005	42
154	2006	45
154	2007	39
154	2008	44
154	2009	72
154	2010	49
154	2011	49
154	2012	72
154	2013	64
154	2014	72
177	2000	5
177	2001	1
177	2002	1
177	2003	5
177	2004	363
177	2005	449
177	2006	454
177	2007	510
177	2008	605
177	2009	661
177	2010	714
177	2011	849
177	2012	887
177	2013	967
177	2014	847
203	1997	1
203	1998	1
203	2000	4
203	2001	1
203	2002	6
203	2003	17
203	2004	3052
203	2005	3147
203	2006	3356
203	2007	3540
203	2008	3653
203	2009	3995
203	2010	4223
203	2011	4517
203	2012	5147
203	2013	5568
203	2014	4557
226	1999	1
226	2000	300
226	2001	316
226	2002	426
226	2003	512
226	2004	1786
226	2005	2071
226	2006	2685
226	2007	3089
226	2008	3898
226	2009	4285
226	2010	4320
226	2011	4691
226	2012	5417
226	2013	5883
226	2014	5087
247	2000	1
247	2001	1
247	2002	5
247	2003	9
247	2004	387
247	2005	431
247	2006	542
247	2007	657
247	2008	807
247	2009	944
247	2010	979
247	2011	1013
247	2012	1344
247	2013	1800
247	2014	1721
	1994	1
	2000	17
	2001	18
	2002	27
	2003	32
	2004	341
	2005	442
	2006	582
	2007	630
	2008	928
	2009	992
	2010	1105
	2011	1263
	2012	1515
	2013	1658
	2014	1674
